state,year,sid,cdl,pre2_cdl,caselaw,anywhere,assumption,civil,homicide_c,robbery_gun_r,jhcitizen_c,jhpolice_c,homicide,robbery,assault,burglary,larceny,motor,murder,hc_felonywsus,jhcitizen,jhpolice,population,police,unemployrt,income,blackm_15_24,whitem_15_24,blackm_25_44,whitem_25_44,prisoner,lagprisoner,poverty,exp_subsidy,exp_pubwelfare,northeast,midwest,south,west,effyear
Alabama,2000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,329.0,0.21080322563648224,1.0,0.0,7.593978404998779,131.6135711669922,325.6177978515625,930.920166015625,2940.623779296875,295.6573486328125,6.5322065353393555,0.4847220182418823,0.046164002269506454,0.023082001134753227,4332380.0,348.8382828837729,4.099999904632568,44851.0,2.222242832183838,4.694809913635254,3.4716944694519043,10.414437294006348,605.3255004882812,564.2741088867188,14.705981469769503,212.26116943359375,1018.4970092773438,0.0,0.0,1.0,0.0,2006.0
Alabama,2001.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,0.21436245739459991,2.0,0.0,8.7134428024292,128.3795928955078,281.6350402832031,934.3845825195312,2758.68994140625,290.1185607910156,7.494940280914307,0.6667278409004211,0.06897184252738953,0.02299061417579651,4349601.0,351.82537432743834,4.699999809265137,43301.0,2.249953508377075,4.700201034545898,3.44024658203125,10.186382293701172,614.7920532226562,605.3255004882812,15.750203294509083,221.89028930664062,1068.9285888671875,0.0,0.0,1.0,0.0,2006.0
Alabama,2002.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,303.0,0.4240188002586365,3.0,2.0,6.933287620544434,136.42330932617188,274.63140869140625,974.2756958007812,2835.8291015625,317.8328857421875,6.406998634338379,0.5949355959892273,0.09152854979038239,0.06864641606807709,4370221.0,311.4945445550694,5.400000095367432,45573.0,2.25826096534729,4.685461044311523,3.4039926528930664,9.957734107971191,640.1049194335938,614.7920532226562,15.556558810183741,257.72637939453125,1139.962646484375,0.0,0.0,1.0,0.0,2006.0
Alabama,2003.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.24544550478458405,2.0,1.0,6.81800651550293,137.6826934814453,258.5369873046875,986.1026611328125,2828.423828125,341.0599365234375,6.567176818847656,0.31923776865005493,0.06840809434652328,0.04560539498925209,4385446.0,348.5620390719667,5.5,44165.0,2.292948007583618,4.68816614151001,3.383213520050049,9.791410446166992,636.49169921875,640.1049194335938,15.447801660310034,270.94000244140625,1224.6658935546875,0.0,0.0,1.0,0.0,2006.0
Alabama,2004.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,254.0,0.26100629568099976,3.0,0.0,5.753689289093018,136.8653106689453,255.65406799316406,1011.7885131835938,2800.959228515625,317.6761169433594,5.595122814178467,0.22652319073677063,0.09060927480459213,0.022652318701148033,4414559.0,327.9149740664922,5.099999904632568,42280.0,2.291327476501465,4.661734104156494,3.3588407039642334,9.59903335571289,586.4005737304688,636.49169921875,16.252654002359012,264.9615478515625,1194.5435791015625,0.0,0.0,1.0,0.0,2006.0
Alabama,2005.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,374.0,0.18737396597862244,0.0,1.0,8.418573379516602,145.1190948486328,254.2003936767578,978.557861328125,2718.703857421875,295.7755432128906,6.932942867279053,0.562738835811615,0.022509554401040077,0.045019108802080154,4442558.0,287.8071597489555,3.9000000953674316,41491.0,2.3120462894439697,4.635865211486816,3.3572099208831787,9.44951057434082,627.7464599609375,586.4005737304688,16.87298173709831,78.91187286376953,1103.141845703125,0.0,0.0,1.0,0.0,2006.0
Alabama,2006.0,1.0,0.5808219313621521,0.0,0.0,1.0,0.0,1.0,368.0,0.2152777761220932,3.0,3.0,8.001687049865723,153.4236602783203,227.8741455078125,968.9216918945312,2645.123046875,322.9376525878906,6.78403902053833,0.4566180408000946,0.0869748592376709,0.0869748592376709,4599030.0,341.311102558583,3.5999999046325684,41041.0,2.2692394256591797,4.483489036560059,3.2928683757781982,9.08882999420166,614.0642700195312,627.7464599609375,16.167670139138036,83.17576599121094,1061.6837158203125,0.0,0.0,1.0,0.0,2006.0
Alabama,2007.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,392.0,0.21332071721553802,3.0,4.0,8.547940254211426,161.4077911376953,248.3481903076172,989.1188354492188,2711.615966796875,310.4952087402344,7.653895854949951,0.7195970416069031,0.08722387999296188,0.1090298518538475,4585900.0,356.46219935018206,3.5,44388.0,2.2898013591766357,4.5040669441223145,3.338494062423706,9.052967071533203,641.357177734375,614.0642700195312,16.3587736322205,93.83240509033203,1093.531494140625,0.0,0.0,1.0,0.0,2006.0
Alabama,2008.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,357.0,0.31781044602394104,3.0,1.0,7.71832799911499,158.77703857421875,254.8994140625,1089.1922607421875,2734.08251953125,290.831787109375,7.264308929443359,0.5404991507530212,0.08647986501455307,0.043239932507276535,4625354.0,349.6381033754389,4.900000095367432,45039.0,2.2850143909454346,4.473387241363525,3.351938009262085,8.916204452514648,659.5819702148438,641.357177734375,15.606913546509087,91.43205261230469,1003.3116455078125,0.0,0.0,1.0,0.0,2006.0
Alabama,2009.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,322.0,0.29672786593437195,0.0,0.0,6.9496002197265625,135.2150421142578,282.79693603515625,1054.1810302734375,2548.302001953125,239.3727264404297,6.863269805908203,0.49640002846717834,0.02158260904252529,0.02158260904252529,4633360.0,365.11300654384723,9.899999618530273,40640.0,2.277763843536377,4.455017566680908,3.3867862224578857,8.858172416687012,685.981689453125,659.5819702148438,17.378813647115702,103.8395767211914,1195.9417724609375,0.0,0.0,1.0,0.0,2006.0
Alabama,2010.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,273.0,0.2140306681394577,0.0,0.0,5.742759704589844,100.15120697021484,245.55030822753906,884.2167358398438,2428.74560546875,222.97894287109375,4.6068291664123535,0.2945004999637604,0.021035749465227127,0.021035749465227127,4753812.0,340.8843260945111,10.0,40976.0,2.182816743850708,4.515512943267822,3.17740797996521,8.610016822814941,668.1795654296875,685.981689453125,16.97416726,114.0684585571289,1268.988525390625,0.0,0.0,1.0,0.0,2006.0
