year,coalres,pop,coalprice,earn,cat,t,state,county,afdc
1969.0,0.0,13.199999809265137,56.793479919433594,50114.1328125,0.0,1.0,1.0,1001.0,559.7825927734375
1970.0,0.0,13.100000381469727,72.82051086425781,48861.5390625,0.0,1.0,1.0,1001.0,582.0513305664062
1971.0,0.0,13.600000381469727,84.02948760986328,64845.20703125,0.0,1.0,1.0,1001.0,579.8526000976562
1972.0,0.0,14.300000190734863,85.44152069091797,65964.1953125,0.0,1.0,1.0,1001.0,503.5799255371094
1973.0,0.0,14.399999618530273,90.29345703125,60961.625,0.0,1.0,1.0,1001.0,516.9300537109375
1974.0,0.0,14.600000381469727,130.1619415283203,58425.09765625,0.0,1.0,1.0,1001.0,532.388671875
1975.0,0.0,14.699999809265137,131.9188232421875,48854.2421875,0.0,1.0,1.0,1001.0,789.6679077148438
1976.0,0.0,14.800000190734863,120.4903793334961,52914.1875,0.0,1.0,1.0,1001.0,908.9317016601562
1977.0,0.0,15.100000381469727,120.49180603027344,55449.1796875,0.0,1.0,1.0,1001.0,845.901611328125
1978.0,0.0,15.0,124.35311889648438,57534.25,0.0,2.0,1.0,1001.0,672.7550048828125
1979.0,0.0,15.100000381469727,115.73187255859375,57839.9453125,0.0,2.0,1.0,1001.0,619.6990356445312
1980.0,0.0,15.300000190734863,105.68319702148438,52911.73046875,0.0,2.0,1.0,1001.0,640.8706665039062
1981.0,0.0,15.5,103.16593933105469,53324.23828125,0.0,2.0,1.0,1001.0,580.7860107421875
1982.0,0.0,15.5,103.17948913574219,51774.359375,0.0,2.0,1.0,1001.0,538.4615478515625
1983.0,0.0,15.399999618530273,100.10009765625,46771.76953125,0.0,3.0,1.0,1001.0,549.549560546875
1984.0,0.0,15.899999618530273,98.46302032470703,58107.58984375,0.0,3.0,1.0,1001.0,538.9049072265625
1985.0,0.0,15.699999809265137,95.36177825927734,57743.96875,0.0,3.0,1.0,1001.0,568.6456298828125
1986.0,0.0,15.699999809265137,92.1461181640625,58457.53515625,0.0,3.0,1.0,1001.0,590.8675537109375
1987.0,0.0,15.399999618530273,84.44639587402344,58498.2421875,0.0,3.0,1.0,1001.0,536.0281372070312
1988.0,0.0,15.399999618530273,80.75949096679688,59526.58203125,0.0,3.0,1.0,1001.0,521.51904296875
1989.0,0.0,15.399999618530273,77.33118438720703,61861.734375,0.0,3.0,1.0,1001.0,518.48876953125
1990.0,0.0,15.399999618530273,75.15338134765625,64815.953125,0.0,3.0,1.0,1001.0,537.5767211914062
