regionno,regionname,year,gdpcap,secagriculture,secenergy,secindustry,secconstruction,secservicesventa,secservicesnonventa,schoolillit,schoolprim,schoolmed,schoolhigh,schoolposthigh,popdens,invest,panel_id,school_illit_share,school_prim_share,school_med_share,school_high_share,school_posthigh_share
2.0,Andalucia,1955.0,1.6887317895889282,,,,,,,,,,,,,,1.0,,,,,
2.0,Andalucia,1956.0,1.7584974765777588,,,,,,,,,,,,,,1.0,,,,,
2.0,Andalucia,1957.0,1.8276207447052002,,,,,,,,,,,,,,1.0,,,,,
2.0,Andalucia,1958.0,1.8527562618255615,,,,,,,,,,,,,,1.0,,,,,
2.0,Andalucia,1959.0,1.8780348300933838,,,,,,,,,,,,,,1.0,,,,,
2.0,Andalucia,1960.0,2.0101399421691895,,,,,,,,,,,,,,1.0,,,,,
2.0,Andalucia,1961.0,2.1291775703430176,27.7199993133545,2.77999997138977,18.4500007629395,6.96999979019165,36.6300010681152,7.44999980926514,,,,,,,,1.0,,,,,
2.0,Andalucia,1962.0,2.280348539352417,,,,,,,,,,,,,,1.0,,,,,
2.0,Andalucia,1963.0,2.4310197830200195,27.1299991607666,2.54999995231628,18.1000003814697,7.73000001907349,37.6699981689453,6.82000017166138,,,,,,,,1.0,,,,,
2.0,Andalucia,1964.0,2.508854627609253,,,,,,,924.403015136719,3028.12719726562,129.512100219727,48.9593620300293,24.9379730224609,,17.4014949798584,1.0,22.242937088012695,72.86264038085938,3.1163134574890137,1.1780576705932617,0.6000562310218811
2.0,Andalucia,1965.0,2.5846900939941406,24.5200004577637,2.65000009536743,18.1800003051758,8.55000019073486,38.3199996948242,7.78000020980835,899.348999023438,3036.81640625,136.179748535156,51.7772178649902,25.7527732849121,,18.3089637756348,1.0,21.67171287536621,73.17850494384766,3.281538486480713,1.2476813793182373,0.6205674409866333
2.0,Andalucia,1966.0,2.694444417953491,,,,,,,874.787658691406,3049.4423828125,143.5947265625,54.983226776123,26.6312026977539,,18.4299926757812,1.0,21.08207130432129,73.49047088623047,3.4605817794799805,1.3250762224197388,0.6418024897575378
2.0,Andalucia,1967.0,2.802342176437378,21.8700008392334,2.65000009536743,18.2199993133545,8.53999996185303,39.0800018310547,9.64999961853027,850.710571289062,3072.63598632812,152.235733032227,58.6103782653809,27.6725540161133,,19.1156578063965,1.0,20.440608978271484,73.82833862304688,3.6578726768493652,1.4082719087600708,0.6649075150489807
2.0,Andalucia,1968.0,2.987360715866089,,,,,,,827.109252929688,3086.955078125,174.595489501953,62.4910278320312,28.2954711914062,,20.6084861755371,1.0,19.78992462158203,73.86038208007812,4.177478790283203,1.4951987266540527,0.6770148277282715
2.0,Andalucia,1969.0,3.179091691970825,19.7299995422363,3.24000000953674,18.4300003051758,8.85999965667725,39.2299995422363,10.5200004577637,803.975463867188,3100.572265625,197.274108886719,66.7777633666992,30.3835697174072,68.5100021362305,22.0555896759033,1.0,19.146907806396484,73.84101867675781,4.698139667510986,1.5903316736221313,0.7235934734344482
2.0,Andalucia,1970.0,3.3543272018432617,,,,,,,,,,,,,23.3137626647949,1.0,,,,,
2.0,Andalucia,1971.0,3.5229220390319824,,,,,,,,,,,,,22.3175086975098,1.0,,,,,
2.0,Andalucia,1972.0,3.7562127113342285,,,,,,,,,,,,,22.1272926330566,1.0,,,,,
2.0,Andalucia,1973.0,3.987717866897583,,,,,,,,,,,,,21.8019485473633,1.0,,,,,
2.0,Andalucia,1974.0,4.051842212677002,,,,,,,,,,,,,23.6468963623047,1.0,,,,,
